                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.26243,                0.26945,                0.85134,                0.93883,                0.96931,                0.98188,                0.96643,                0.19769,                0.19784,                 0.7957,             0.00065091,             0.00065091,             0.00065091
                     58,                0.26664,                0.26624,                0.84791,                0.97351,                0.95603,                0.98261,                0.97071,                0.19534,                0.18968,                0.79236,             0.00063676,             0.00063676,             0.00063676
                     59,                0.26574,                0.25685,                0.84841,                0.96339,                0.96077,                0.98449,                0.97107,                0.19673,                0.18909,                0.79691,             0.00062262,             0.00062262,             0.00062262
                     60,                0.26164,                0.25712,                0.85086,                0.94969,                0.96765,                 0.9818,                0.97253,                0.18513,                 0.1924,                0.79142,             0.00060847,             0.00060847,             0.00060847
                     61,                0.26395,                0.25775,                0.84989,                 0.9743,                0.96782,                0.98133,                0.96902,                0.18624,                0.18395,                0.79143,             0.00059432,             0.00059432,             0.00059432
                     62,                0.26288,                0.25676,                0.84913,                0.96568,                0.95672,                0.98283,                0.96908,                0.19315,                0.19166,                0.79024,             0.00058017,             0.00058017,             0.00058017
                     63,                0.25852,                0.25669,                0.84547,                0.96287,                 0.9586,                0.98378,                0.96701,                0.19994,                 0.1848,                0.79508,             0.00056603,             0.00056603,             0.00056603
                     64,                0.26828,                0.25365,                0.84704,                0.94585,                0.95831,                0.98412,                0.96799,                0.19123,                0.19067,                0.79102,             0.00055188,             0.00055188,             0.00055188
                     65,                0.25644,                0.24681,                0.84493,                0.95699,                0.96048,                0.98291,                0.96931,                0.19171,                0.19605,                0.79113,             0.00053773,             0.00053773,             0.00053773
                     66,                0.25863,                 0.2473,                0.84579,                0.96817,                0.95481,                0.98352,                0.97499,                0.18134,                0.18346,                 0.7904,             0.00052359,             0.00052359,             0.00052359
                     67,                0.26024,                0.24657,                0.84558,                0.96134,                 0.9472,                0.97653,                0.96125,                0.19339,                0.20598,                0.79626,             0.00050944,             0.00050944,             0.00050944
                     68,                0.25676,                0.24368,                0.84634,                0.97707,                0.95654,                0.98247,                0.96871,                0.19354,                0.18323,                0.79209,             0.00049529,             0.00049529,             0.00049529
                     69,                0.25346,                0.24892,                0.84514,                0.97366,                0.96337,                0.97921,                0.96749,                0.18125,                0.18198,                0.78716,             0.00048114,             0.00048114,             0.00048114
                     70,                0.25062,                0.24587,                0.84024,                0.97103,                0.96383,                0.98597,                0.97539,                0.18623,                0.17361,                 0.7883,               0.000467,               0.000467,               0.000467
                     71,                0.25076,                0.23076,                0.84545,                0.95769,                0.96309,                0.98434,                0.97268,                0.18688,                0.18194,                0.79218,             0.00045285,             0.00045285,             0.00045285
                     72,                0.24653,                0.22779,                0.84221,                0.97398,                0.95737,                0.98128,                0.96643,                0.20015,                 0.1912,                0.78967,              0.0004387,              0.0004387,              0.0004387
                     73,                0.24966,                0.23345,                0.84438,                0.95513,                0.95806,                0.98154,                0.97245,                0.18448,                 0.1821,                0.78767,             0.00042456,             0.00042456,             0.00042456
                     74,                0.24404,                 0.2333,                0.84191,                0.96665,                 0.9597,                0.98546,                 0.9731,                0.17938,                0.17237,                0.78973,             0.00041041,             0.00041041,             0.00041041
                     75,                0.24408,                0.22389,                0.84136,                0.97037,                0.96343,                0.98631,                0.97609,                0.18009,                0.17113,                0.78713,             0.00039626,             0.00039626,             0.00039626
                     76,                0.24422,                0.22969,                0.84111,                0.93936,                0.96736,                 0.9799,                0.96695,                0.18172,                0.19717,                 0.7861,             0.00038211,             0.00038211,             0.00038211
                     77,                0.24005,                0.22225,                0.83947,                0.96668,                0.95627,                0.98267,                0.97587,                0.16415,                0.17544,                 0.7839,             0.00036797,             0.00036797,             0.00036797
                     78,                0.24124,                0.22051,                0.83932,                0.96877,                0.96646,                0.98629,                0.97746,                0.18461,                0.17592,                0.79194,             0.00035382,             0.00035382,             0.00035382
                     79,                0.24247,                0.22116,                0.84134,                0.96076,                 0.9636,                0.98357,                0.97505,                0.17613,                0.17766,                0.78228,             0.00033967,             0.00033967,             0.00033967
                     80,                0.24048,                 0.2267,                0.84127,                0.97097,                0.97402,                0.98355,                0.97644,                0.16474,                0.16309,                 0.7823,             0.00032553,             0.00032553,             0.00032553
                     81,                0.23433,                0.22361,                0.84157,                0.96712,                 0.9679,                0.98671,                0.97697,                0.17756,                0.16853,                 0.7859,             0.00031138,             0.00031138,             0.00031138
                     82,                0.22746,                0.20818,                0.83459,                0.96056,                0.97824,                0.98304,                0.97633,                0.17339,                0.16763,                0.78426,             0.00029723,             0.00029723,             0.00029723
                     83,                0.22929,                0.20609,                 0.8398,                0.95832,                0.96035,                0.97948,                0.96991,                0.17401,                0.18121,                0.78521,             0.00028308,             0.00028308,             0.00028308
                     84,                0.22729,                0.21585,                0.83385,                 0.9627,                0.96526,                0.97979,                0.97158,                0.17492,                0.17868,                0.78413,             0.00026894,             0.00026894,             0.00026894
                     85,                0.23069,                0.20266,                0.83816,                0.96766,                0.96896,                0.98208,                0.97543,                0.17587,                0.16666,                0.78314,             0.00025479,             0.00025479,             0.00025479
                     86,                0.22683,                0.20267,                0.83568,                0.95894,                0.97018,                0.98377,                0.97825,                0.16741,                 0.1651,                0.78158,             0.00024064,             0.00024064,             0.00024064
                     87,                0.22254,                0.20585,                0.83308,                0.96358,                0.97729,                0.98451,                0.97644,                0.17552,                0.15876,                0.78269,              0.0002265,              0.0002265,              0.0002265
