                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.36377,                0.32118,                 1.3994,                 0.9509,                0.94418,                 0.9752,                0.69509,                 1.0635,                0.47645,                 4.7189,             0.00036797,             0.00036797,             0.00036797
                     78,                0.36476,                0.32517,                 1.4112,                0.95343,                0.96186,                0.97778,                0.69908,                  1.078,                0.45795,                  4.744,             0.00035382,             0.00035382,             0.00035382
                     79,                0.36181,                0.32325,                 1.3943,                0.95575,                0.95341,                0.97668,                0.67856,                 1.0795,                   0.46,                 4.9425,             0.00033967,             0.00033967,             0.00033967
                     80,                0.37182,                 0.3272,                 1.4063,                0.94422,                0.96727,                0.97424,                0.68876,                 1.0716,                 0.4507,                 4.7088,             0.00032553,             0.00032553,             0.00032553
                     81,                0.36277,                0.32618,                 1.4154,                 0.9468,                0.95542,                0.97385,                 0.6678,                 1.0822,                0.46272,                 4.7033,             0.00031138,             0.00031138,             0.00031138
                     82,                 0.3537,                0.31711,                 1.3856,                0.95919,                0.95209,                0.97476,                0.66951,                 1.0828,                0.45677,                 4.7271,             0.00029723,             0.00029723,             0.00029723
                     83,                0.35844,                0.31076,                 1.4024,                0.94357,                0.96006,                0.97206,                0.69136,                 1.0649,                 0.4583,                 4.7148,             0.00028308,             0.00028308,             0.00028308
                     84,                0.35686,                0.31622,                 1.3962,                0.95038,                0.95368,                 0.9741,                0.68367,                 1.0785,                0.45763,                 4.7473,             0.00026894,             0.00026894,             0.00026894
                     85,                0.35791,                0.31099,                 1.3863,                0.94296,                  0.963,                0.97245,                0.69519,                 1.0635,                0.45657,                 4.7274,             0.00025479,             0.00025479,             0.00025479
                     86,                0.35892,                0.31472,                 1.4048,                0.95357,                0.95413,                0.97056,                0.69247,                 1.0696,                0.46648,                 4.7258,             0.00024064,             0.00024064,             0.00024064
                     87,                0.35918,                0.31782,                 1.3862,                0.95625,                0.94956,                0.97075,                0.68672,                 1.0784,                0.46555,                 4.9191,              0.0002265,              0.0002265,              0.0002265
                     88,                0.35591,                 0.3102,                 1.3966,                0.95004,                0.95581,                0.97209,                0.68677,                 1.0729,                0.46859,                 4.8552,             0.00021235,             0.00021235,             0.00021235
                     89,                0.35128,                 0.3039,                  1.391,                0.94366,                0.95991,                0.97159,                0.68351,                 1.0711,                0.46384,                 4.8668,              0.0001982,              0.0001982,              0.0001982
                     90,                0.34654,                0.29867,                 1.3738,                0.95742,                0.95634,                0.97489,                0.69169,                 1.0738,                0.45811,                 4.8592,             0.00018406,             0.00018406,             0.00018406
                     91,                0.23879,                0.21514,                 1.1742,                0.95155,                0.95672,                0.97002,                0.68525,                 1.0615,                0.46778,                 4.9316,             0.00016991,             0.00016991,             0.00016991
                     92,                0.23478,                0.20883,                 1.1748,                0.95594,                0.94689,                0.97009,                0.68505,                 1.0674,                0.46889,                 4.9242,             0.00015576,             0.00015576,             0.00015576
                     93,                0.23224,                0.20992,                 1.1663,                0.94891,                0.95292,                0.96975,                0.68804,                   1.07,                0.46698,                 4.9559,             0.00014161,             0.00014161,             0.00014161
                     94,                0.22999,                0.20296,                 1.1622,                0.94651,                 0.9659,                 0.9765,                0.69774,                 1.0661,                0.46284,                 4.9279,             0.00012747,             0.00012747,             0.00012747
                     95,                0.22638,                0.19955,                 1.1514,                0.96384,                0.95542,                 0.9747,                0.69722,                 1.0647,                 0.4554,                 4.8006,             0.00011332,             0.00011332,             0.00011332
                     96,                0.22243,                0.20054,                 1.1306,                0.93759,                0.96916,                0.97301,                  0.688,                 1.0644,                 0.4592,                 4.8809,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.22463,                0.19887,                 1.1433,                 0.9502,                0.96064,                0.97215,                0.68655,                 1.0644,                0.46108,                 4.8786,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.22398,                0.19987,                 1.1483,                0.95271,                 0.9584,                0.97231,                0.69407,                 1.0715,                0.46162,                 4.7855,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.21725,                0.19614,                 1.1283,                0.94595,                0.96869,                0.97129,                0.69338,                 1.0656,                0.46258,                 4.8123,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                 0.2184,                0.19393,                 1.1294,                0.96141,                0.95296,                0.97198,                0.69197,                 1.0636,                0.46008,                  4.896,             4.2584e-05,             4.2584e-05,             4.2584e-05
